FIPS,Area Name-Legal/Statistical Area Description,Logical Record Number,State (FIPS),ZIP Code Tabulation Area (5 digit),Population Density (per sq. mile)
Geo_FIPS,Geo_NAME,Geo_LOGRECNO,Geo_STATE,Geo_ZCTA5,SE_T002_002
3610001,ZCTA5 10001       ,471365,36,10001,33959.17
3610002,ZCTA5 10002       ,471367,36,10002,92573.08
3610003,ZCTA5 10003       ,471369,36,10003,97187.61
3610004,ZCTA5 10004       ,471371,36,10004,5518.542
3610005,ZCTA5 10005       ,471373,36,10005,97048.38
3610006,ZCTA5 10006       ,471375,36,10006,32796.38
3610007,ZCTA5 10007       ,471377,36,10007,42750.66
3610009,ZCTA5 10009       ,471379,36,10009,99492.48
3610010,ZCTA5 10010       ,471381,36,10010,81486.59
3610011,ZCTA5 10011       ,471383,36,10011,77436.44
3610012,ZCTA5 10012       ,471385,36,10012,74516.59
3610013,ZCTA5 10013       ,471387,36,10013,50154.13
3610014,ZCTA5 10014       ,471389,36,10014,56119.4
3610016,ZCTA5 10016       ,471391,36,10016,101814.3
3610017,ZCTA5 10017       ,471393,36,10017,51774.64
3610018,ZCTA5 10018       ,471395,36,10018,16250.51
3610019,ZCTA5 10019       ,471397,36,10019,63041.71
3610020,ZCTA5 10020       ,471399,36,10020,0
3610021,ZCTA5 10021       ,471401,36,10021,112711.1
3610022,ZCTA5 10022       ,471403,36,10022,73157.72
3610023,ZCTA5 10023       ,471405,36,10023,124357
3610024,ZCTA5 10024       ,471407,36,10024,69106.18
3610025,ZCTA5 10025       ,471409,36,10025,125859.5
3610026,ZCTA5 10026       ,471411,36,10026,102315.3
3610027,ZCTA5 10027       ,471413,36,10027,68513.12
3610028,ZCTA5 10028       ,471415,36,10028,143683.1
3610029,ZCTA5 10029       ,471417,36,10029,92116.02
3610030,ZCTA5 10030       ,471419,36,10030,96789.59
3610031,ZCTA5 10031       ,471421,36,10031,86722
3610032,ZCTA5 10032       ,471423,36,10032,87199.28
3610033,ZCTA5 10033       ,471425,36,10033,89201.16
3610034,ZCTA5 10034       ,471427,36,10034,34544.02
3610035,ZCTA5 10035       ,471429,36,10035,24329.11
3610036,ZCTA5 10036       ,471431,36,10036,55744.93
3610037,ZCTA5 10037       ,471433,36,10037,65973.05
3610038,ZCTA5 10038       ,471435,36,10038,68214.44
3610039,ZCTA5 10039       ,471437,36,10039,52965.27
3610040,ZCTA5 10040       ,471439,36,10040,111183.9
3610044,ZCTA5 10044       ,471441,36,10044,48250.55
3610065,ZCTA5 10065       ,471443,36,10065,83533.47
3610069,ZCTA5 10069       ,471445,36,10069,49908.26
3610075,ZCTA5 10075       ,471447,36,10075,141546.1
3610103,ZCTA5 10103       ,471449,36,10103,313.6085
3610110,ZCTA5 10110       ,471451,36,10110,0
3610111,ZCTA5 10111       ,471453,36,10111,0
3610112,ZCTA5 10112       ,471455,36,10112,0
3610115,ZCTA5 10115       ,471457,36,10115,0
3610119,ZCTA5 10119       ,471459,36,10119,5591.695
3610128,ZCTA5 10128       ,471461,36,10128,128440.8
3610152,ZCTA5 10152       ,471463,36,10152,0
3610153,ZCTA5 10153       ,471465,36,10153,0
3610154,ZCTA5 10154       ,471467,36,10154,0
3610162,ZCTA5 10162       ,471469,36,10162,148228
3610165,ZCTA5 10165       ,471471,36,10165,396.6898
3610167,ZCTA5 10167       ,471473,36,10167,0
3610168,ZCTA5 10168       ,471475,36,10168,0
3610169,ZCTA5 10169       ,471477,36,10169,0
3610170,ZCTA5 10170       ,471479,36,10170,207.8559
3610171,ZCTA5 10171       ,471481,36,10171,0
3610172,ZCTA5 10172       ,471483,36,10172,0
3610173,ZCTA5 10173       ,471485,36,10173,421.239
3610174,ZCTA5 10174       ,471487,36,10174,0
3610177,ZCTA5 10177       ,471489,36,10177,0
3610199,ZCTA5 10199       ,471491,36,10199,349.3218
3610271,ZCTA5 10271       ,471493,36,10271,0
3610278,ZCTA5 10278       ,471495,36,10278,0
3610279,ZCTA5 10279       ,471497,36,10279,0
3610280,ZCTA5 10280       ,471499,36,10280,56710.38
3610282,ZCTA5 10282       ,471501,36,10282,54673.94