,borough,geometry,ZipCode,NumFloors,BldgFront,BldgDepth,IrrLotCode,km_labels,sum,db_labels
0,Manhattan,"POLYGON ((-73.92062094847111 40.873001790648, -73.92004301142987 40.87328085642061, -73.91992567417194 40.87369184797123, -73.92061337709801 40.87420741677352, -73.92117050413519 40.87511564196837, -73.92086316245471 40.875473023509, -73.91884517214379 40.87463432394893, -73.91920517688847 40.87416161135756, -73.91927190176753 40.87367459026981, -73.91885909301133 40.87327094952586, -73.91849675425777 40.87316630507445, -73.91862125902811 40.87340252890029, -73.9182029713611 40.87378796453888, -73.91641162702295 40.87450886437377, -73.91527247053203 40.87450297739576, -73.9118534356237 40.87349336173671, -73.91118833683441 40.87298048828956, -73.91050845587476 40.87197006963375, -73.91042098768318 40.87138566655357, -73.91072530554307 40.87096064746417, -73.9108519258719 40.86964124094502, -73.9109569098991 40.86939868073043, -73.9113512351059 40.86952645666467, -73.91147145738755 40.86943390214584, -73.91105118136547 40.86914826078882, -73.91110306748172 40.86895974285592, -73.91132856688294 40.86879113407673, -73.91185599855892 40.86764209787695, -73.9127153530512 40.86661106040886, -73.91254931956774 40.86650556661796, -73.91391874503513 40.86475741235393, -73.9159079965429 40.86428512166971, -73.9158838879725 40.86413810633444, -73.91517582431223 40.8639260439953, -73.91548575386129 40.86313187179303, -73.91630303023358 40.86233680530704, -73.91718702447028 40.86182113812335, -73.91839082176477 40.86010673736408, -73.91937975185142 40.8605271899311, -73.91984623747398 40.85989780558094, -73.92162345373781 40.86077473455689, -73.92294998965674 40.85886899435125, -73.92730037382063 40.86553538820083, -73.92945000107098 40.86577616450916, -73.93099662801906 40.86680998270089, -73.9320552751589 40.86663292457462, -73.93297790852994 40.86510795403932, -73.93378898818895 40.8630718729956, -73.93453048454519 40.86319804411761, -73.93127671033326 40.86884361367126, -73.93213126627553 40.86945065275044, -73.93219516353292 40.87013036845043, -73.93185222958729 40.87129961123235, -73.92910621438615 40.87568655736666, -73.92807282464723 40.87657620949427, -73.92743514917515 40.87678289005562, -73.9264740098166 40.87761017023252, -73.92628034139898 40.87752718832025, -73.92635781180044 40.87716191445885, -73.92589415239756 40.87704052008282, -73.92487225896787 40.87745538129096, -73.92380491986391 40.87721734721977, -73.92301212607488 40.87721959727549, -73.92240581506144 40.87673021288177, -73.92238988945184 40.87576659825417, -73.92266538608786 40.87519946048157, -73.92255872392862 40.87429289913175, -73.92214233437066 40.87368500014021, -73.92167573929648 40.87332345442532, -73.92129125810403 40.87331317850017, -73.92115396355324 40.87306736132022, -73.92062094847111 40.873001790648))",10034,0.012594155,0.13611922099999998,0.11008000800000001,0.822261804,3,1.0810551880000001,0
1,Manhattan,"POLYGON ((-73.93213126627553 40.86945065275044, -73.93127671033326 40.86884361367126, -73.93453048454519 40.86319804411761, -73.93378898818895 40.8630718729956, -73.93484111974497 40.86145755212345, -73.93524365776949 40.86012437965909, -73.93567259775875 40.85962974162257, -73.93655167726502 40.85909503631643, -73.93768890718501 40.85765175547473, -73.93657612012709 40.85735053108442, -73.93795332222744 40.8555695731915, -73.93778769142585 40.85537404141855, -73.93355655605933 40.85414224518565, -73.92815115747896 40.8518633508023, -73.92769565158058 40.85248781200401, -73.92706993465309 40.85218083135744, -73.9270363205077 40.85161677992694, -73.92759675459841 40.85051363883426, -73.92887662242559 40.84939404108911, -73.92972702545423 40.84817792441984, -73.93062108080143 40.84848099946699, -73.93088429892219 40.84811895698896, -73.92848076688256 40.84698296784975, -73.92982993605106 40.84504504670333, -73.93149099341204 40.84573823500305, -73.93150252659382 40.84529602701996, -73.93240550181383 40.84483817917928, -73.93294766814695 40.84420971481019, -73.93328518693878 40.84411381171962, -73.93371553818378 40.84424639804946, -73.93467106288998 40.84295727251731, -73.94260999216223 40.84623030132907, -73.9420539434263 40.84831675486505, -73.9413764439321 40.84886059703847, -73.9415250644368 40.84928192353945, -73.94261461299337 40.84963960129212, -73.9425813459346 40.84973530162672, -73.94688156239715 40.8505756143882, -73.94652226898951 40.85097125952732, -73.94625670323292 40.8509383257984, -73.9461309196999 40.85117950795217, -73.94563524825244 40.85125275374769, -73.94465859315926 40.85193941938631, -73.94433312245029 40.85184701733849, -73.94346457759225 40.85230711173937, -73.94201510404143 40.85370952809815, -73.94028078276583 40.8566499011432, -73.93901057396258 40.85815000531262, -73.93836114276391 40.85931066891446, -73.93752975865353 40.86010371496398, -73.93757708419854 40.860234765519, -73.93653401311734 40.86183842510835, -73.93406287907484 40.86498642503658, -73.93245148791947 40.86752441101149, -73.93209614681545 40.86848635612702, -73.93228063765849 40.86853411212009, -73.93231397584677 40.86892258821232, -73.93256485663345 40.86901675604818, -73.93213126627553 40.86945065275044))",10033,0.022046344,0.088300539,0.05298531,0.8096723229999999,3,0.9730045159999999,0
2,Manhattan,"POLYGON ((-73.93378898818895 40.8630718729956, -73.93297790852994 40.86510795403932, -73.9320552751589 40.86663292457462, -73.93099662801906 40.86680998270089, -73.92945000107098 40.86577616450916, -73.92730037382063 40.86553538820083, -73.92294998965674 40.85886899435125, -73.92162345373781 40.86077473455689, -73.91984623747398 40.85989780558094, -73.91937975185142 40.8605271899311, -73.91839082176477 40.86010673736408, -73.91950514221432 40.85878396382665, -73.92066249474068 40.85928344548454, -73.92132876041438 40.86026678799297, -73.9214964232706 40.86022039546542, -73.92186243442794 40.85917341668799, -73.9212433090473 40.85886848491901, -73.92105324714443 40.8583505791828, -73.92075890922362 40.85814033973597, -73.920796368483 40.85798127215055, -73.92154965565973 40.85729403154336, -73.92158383846437 40.85706111219182, -73.92190904536191 40.85692356756324, -73.9219617174374 40.85668684431808, -73.92224044603769 40.85659276011493, -73.92237520262559 40.85602119753869, -73.92227051827581 40.85564294690223, -73.92431691650654 40.85301285300702, -73.92848076688256 40.84698296784975, -73.93088429892219 40.84811895698896, -73.93062108080143 40.84848099946699, -73.92972702545423 40.84817792441984, -73.92887662242559 40.84939404108911, -73.92747679283157 40.85069439936191, -73.92704554676762 40.85155528937995, -73.92710269380954 40.8522151211724, -73.92769565158058 40.85248781200401, -73.92815115747896 40.8518633508023, -73.93355655605933 40.85414224518565, -73.93778769142585 40.85537404141855, -73.93795332222744 40.8555695731915, -73.93657612012709 40.85735053108442, -73.93768890718501 40.85765175547473, -73.93655167726502 40.85909503631643, -73.93533889486473 40.85997844017621, -73.93484111974497 40.86145755212345, -73.93378898818895 40.8630718729956))",10040,0.019056654,0.137704351,0.060926166,0.840027249,3,1.05771442,0
3,Manhattan,"POLYGON ((-73.94691631035546 40.85053396462935, -73.9425813459346 40.84973530162672, -73.94261461299337 40.84963960129212, -73.9415250644368 40.84928192353945, -73.9413764439321 40.84886059703847, -73.9420539434263 40.84831675486505, -73.94260999216223 40.84623030132907, -73.93485106064718 40.84301477264741, -73.93467106288998 40.84295727251731, -73.93371553818378 40.84424639804946, -73.93299195446892 40.84418408460361, -73.93240550181383 40.84483817917928, -73.93152790646189 40.8452705293293, -73.93149099341204 40.84573823500305, -73.92982993605106 40.84504504670333, -73.93088993208328 40.8424779202543, -73.93439575536135 40.83610394068545, -73.93440160458212 40.83646901780848, -73.93506980371573 40.83567357256877, -73.93855748620817 40.83291832007009, -73.9399124624082 40.83092734327202, -73.94008773907041 40.83034967785467, -73.94107858204309 40.82908318828013, -73.94971383646286 40.83269649150552, -73.94852105078529 40.83634866699097, -73.94917082807663 40.83668014333772, -73.95035333237948 40.83270690183203, -73.95119152647304 40.83048222016762, -73.95218696274918 40.82892668637683, -73.9534708521888 40.82752592131583, -73.9545418790166 40.82786149839284, -73.95116910240419 40.83265118172919, -73.95091399534284 40.83330463429175, -73.95015909125742 40.83438417250404, -73.94954196093035 40.83660953918695, -73.94916704996425 40.83668873778727, -73.94954429666501 40.83688311385108, -73.94882846127585 40.8389157386598, -73.94738278950409 40.84194047114247, -73.94613038088204 40.84395083425571, -73.94623482148211 40.84539193331183, -73.94655744115931 40.84598305846326, -73.94635643102687 40.84622629353009, -73.94682911293692 40.8470636911263, -73.94664694075595 40.84813679202868, -73.9466763281312 40.84896569956346, -73.94705147325554 40.85023681853292, -73.94691631035546 40.85053396462935))",10032,0.026393173,0.097625752,0.054745009000000004,0.7807523590000001,3,0.9595162930000001,0
4,Manhattan,"POLYGON ((-73.94008773907041 40.83034967785467, -73.93967968247685 40.82970254686012, -73.93972862463075 40.82930186115972, -73.94384274852182 40.82364782413489, -73.94475648732869 40.82403157957557, -73.94486897851922 40.82386640413126, -73.94800732455235 40.81711652474162, -73.95087990584247 40.81839445721214, -73.95170372594359 40.81794207332058, -73.95227185224422 40.81722066710584, -73.9588738926919 40.82000554269312, -73.95820656423024 40.82085070937795, -73.95746185705265 40.82111957376044, -73.95615427393327 40.82225797562543, -73.95574306955656 40.82287558489654, -73.95727774852912 40.82320648900828, -73.95814312643297 40.82302073871083, -73.95954648369189 40.8236568716786, -73.95726081743564 40.82711172049232, -73.95693710601441 40.82698756674208, -73.95630519844519 40.82793650596471, -73.95503913113517 40.82741345292111, -73.95469736123226 40.82791840153549, -73.9534708521888 40.82752592131583, -73.95218696274918 40.82892668637683, -73.95146373921256 40.82995033529691, -73.95085728630414 40.83121636507139, -73.94917082807663 40.83668014333772, -73.94852105078529 40.83634866699097, -73.94971383646286 40.83269649150552, -73.94107858204309 40.82908318828013, -73.94008773907041 40.83034967785467))",10031,0.001564426,0.055249599,0.015642072,0.592347112,3,0.664803209,1
5,Manhattan,"POLYGON ((-73.93439575536135 40.83610394068545, -73.93491790572467 40.83519342810474, -73.93514291963257 40.83275048473848, -73.93442124221117 40.82704014395416, -73.93396483800849 40.81972427828244, -73.93382728310257 40.81969831735175, -73.93382316715753 40.81949968615795, -73.94384274852182 40.82364782413489, -73.93972862463075 40.82930186115972, -73.93967968247685 40.82970254686012, -73.94008773907041 40.83034967785467, -73.93997525986644 40.83078770562273, -73.93939208403268 40.83152064201187, -73.93885319547719 40.83255914208199, -73.93814090955608 40.83330373505747, -73.93489763514887 40.83582227676596, -73.93440160458212 40.83646901780848, -73.93439575536135 40.83610394068545))",10039,0.0639561,0.21553202600000002,0.127761403,0.6754404970000001,3,1.082690026,-1
6,Manhattan,"POLYGON ((-73.93623227973836 40.82043594900477, -73.94180335488039 40.81281509007056, -73.94867681672001 40.81569231057291, -73.94475648732869 40.82403157957557, -73.93623227973836 40.82043594900477))",10030,0.0,0.028505052000000003,0.0,0.531162722,3,0.559667774,1
7,Manhattan,"POLYGON ((-73.96568887491037 40.80902621308557, -73.96442407769575 40.81075515833336, -73.9634767146014 40.81037321316466, -73.96305843786453 40.81094722012595, -73.96401951743952 40.81133069121485, -73.96374596077916 40.81186442047553, -73.96197563381331 40.81389455285185, -73.96056136920501 40.81588220335556, -73.96050599080101 40.81642127498117, -73.96080354828415 40.81714655381145, -73.96067221902307 40.81750429175458, -73.96199929512878 40.81813063146748, -73.95999619034812 40.82038517703892, -73.95982083225715 40.82030054866017, -73.95881888777046 40.82151095286332, -73.95894488058231 40.82156053948571, -73.95865934118942 40.82190896187452, -73.95851699517196 40.82183908538706, -73.95793904646612 40.82277437701529, -73.95822838350293 40.82288788614587, -73.95814312643297 40.82302073871083, -73.95727774852912 40.82320648900828, -73.95574306955656 40.82287558489654, -73.95615427393327 40.82225797562543, -73.95746185705265 40.82111957376044, -73.95820656423024 40.82085070937795, -73.9588738926919 40.82000554269312, -73.95227185224422 40.81722066710584, -73.95170372594359 40.81794207332058, -73.95087990584247 40.81839445721214, -73.94800732455235 40.81711652474162, -73.94867681672001 40.81569231057291, -73.94180335488039 40.81281509007056, -73.94317184200837 40.8109419478921, -73.93994875480017 40.80958144661189, -73.94275366131305 40.80574403684007, -73.9411669041814 40.80506317783419, -73.94299315982731 40.80256157048077, -73.95634493435124 40.80817337871826, -73.9549665695574 40.81006458045247, -73.95780889444416 40.81126480076146, -73.95827207859104 40.81062888928565, -73.95729537567624 40.81015445288457, -73.95715403660243 40.80958713182439, -73.95794861587581 40.80805341523943, -73.9593567476704 40.80612090623688, -73.96105362531289 40.80682096756859, -73.9620082796616 40.80550928432515, -73.96484783057795 40.80670634773313, -73.96390317193045 40.80800388441653, -73.96590008432324 40.80880536649463, -73.96568887491037 40.80902621308557))",10027,0.01700033,0.063770615,0.066437416,0.605999896,3,0.753208257,1
8,Manhattan,"POLYGON ((-73.93382316715753 40.81949968615795, -73.93381203921719 40.81563948472332, -73.93392531668036 40.81556335322747, -73.93396871587535 40.81453910570468, -73.93385530360429 40.81424226649133, -73.9343389762541 40.80961458994445, -73.93409543307838 40.80861747440834, -73.93325645971269 40.80723820911027, -73.9337948616089 40.80701033866798, -73.93435249340358 40.8075487251423, -73.9351052781961 40.80753987351334, -73.94317184200837 40.8109419478921, -73.93623227973836 40.82043594900477, -73.93382316715753 40.81949968615795))",10037,0.060936977,0.125541672,0.141148372,0.598858839,3,0.92648586,-1
9,Manhattan,"POLYGON ((-73.96590008432324 40.80880536649463, -73.96689075082833 40.80776451834099, -73.96880711754392 40.80442856683398, -73.97134705168688 40.80087452948901, -73.97277743106588 40.79972671810915, -73.9738635800676 40.79843623967481, -73.97414359285979 40.79776386384747, -73.97411451531811 40.7968647580111, -73.97425532410232 40.79658855857136, -73.97572323866528 40.79560765472964, -73.9760258411193 40.79521678856815, -73.97626246137298 40.79473546090477, -73.97636767715618 40.79368357423228, -73.97709165633408 40.79272358281384, -73.96700976022309 40.78847680965741, -73.97357116577913 40.77947788180905, -73.97642746465422 40.78065427073034, -73.97690313877095 40.77999737613274, -73.97974787055291 40.78119536260816, -73.97928494580403 40.78183902023342, -73.98081059690513 40.7824731961474, -73.98106345484025 40.78175075015363, -73.98445219960307 40.78319175363302, -73.98265479533252 40.78497060697607, -73.9841922514499 40.78561680269051, -73.98470913747732 40.78559570254689, -73.98473705705575 40.78504251482436, -73.98516250169958 40.7839982850751, -73.9865652634212 40.7820640384103, -73.98768599278554 40.78216290002316, -73.98039128153972 40.79280165603109, -73.97208360515059 40.80447745384041, -73.96860102560335 40.80902218301242, -73.96411270880478 40.81582017463987, -73.96199929512878 40.81813063146748, -73.96067221902307 40.81750429175458, -73.96080172434088 40.81711999754174, -73.96049221119767 40.81630456136205, -73.96062298848261 40.81574151726333, -73.96197563381331 40.81389455285185, -73.96374596077916 40.81186442047553, -73.96590008432324 40.80880536649463))",10024,0.091552383,0.045505536,0.0056281840000000005,0.632100885,3,0.774786988,1
10,Manhattan,"POLYGON ((-73.94459750483605 40.80322817350717, -73.94922045816276 40.79690988348276, -73.96107794068298 40.80180037261132, -73.9598267956781 40.80543487768492, -73.95794861587581 40.80805341523943, -73.95715403660243 40.80958713182439, -73.95729537567624 40.81015445288457, -73.95827207859104 40.81062888928565, -73.95780889444416 40.81126480076146, -73.9549665695574 40.81006458045247, -73.95634493435124 40.80817337871826, -73.94459750483605 40.80322817350717))",10026,0.009623505,0.054150183,0.021892484,0.529363692,3,0.615029864,1
11,Manhattan,"POLYGON ((-73.93325645971269 40.80723820911027, -73.9312930659983 40.80514603862122, -73.93030145791633 40.80379604589759, -73.92994789997809 40.80321327900868, -73.93002494995127 40.80307098392763, -73.92919790389367 40.80113478755312, -73.92903517334402 40.8010788052027, -73.92889711213249 40.79983848752264, -73.92896206982201 40.79830057422134, -73.92903193431519 40.79676431054668, -73.929270224409 40.79585608846016, -73.93018374377134 40.79459192808945, -73.93091566910087 40.79419631649108, -73.94646132906085 40.80066532888591, -73.94459750483605 40.80322817350717, -73.94299315982731 40.80256157048077, -73.9411669041814 40.80506317783419, -73.94275366131305 40.80574403684007, -73.93994875480017 40.80958144661189, -73.9351052781961 40.80753987351334, -73.93435249340358 40.8075487251423, -73.9337948616089 40.80701033866798, -73.93325645971269 40.80723820911027))",10035,0.041599839,0.057040379,0.046405771,0.561398122,3,0.706444111,1
12,Manhattan,"POLYGON ((-73.9593567476704 40.80612090623688, -73.9598267956781 40.80543487768492, -73.96107794068298 40.80180037261132, -73.95819500754443 40.80055251408989, -73.96700976022309 40.78847680965741, -73.97709165633408 40.79272358281384, -73.97636767715618 40.79368357423228, -73.97626246137298 40.79473546090477, -73.9760258411193 40.79521678856815, -73.97572323866528 40.79560765472964, -73.97425532410232 40.79658855857136, -73.97411451531811 40.7968647580111, -73.97414359285979 40.79776386384747, -73.9738635800676 40.79843623967481, -73.97277743106588 40.79972671810915, -73.97134705168688 40.80087452948901, -73.96880711754392 40.80442856683398, -73.96689075082833 40.80776451834099, -73.96590008432324 40.80880536649463, -73.96390317193045 40.80800388441653, -73.96484783057795 40.80670634773313, -73.9620082796616 40.80550928432515, -73.96105362531289 40.80682096756859, -73.9593567476704 40.80612090623688))",10025,0.11344756,0.098460517,0.026195507000000003,0.671839082,3,0.909942666,-1
13,Manhattan,"POLYGON ((-73.94646132906085 40.80066532888591, -73.93091566910087 40.79419631649108, -73.9333037696486 40.79287694754548, -73.93582854012827 40.79109740692854, -73.93706994781985 40.78938600981628, -73.93811265834771 40.7871875499842, -73.93982714391372 40.78526000729506, -73.94245453709718 40.78390621954082, -73.94319247232569 40.78339302416044, -73.94359174329144 40.78283206813168, -73.95577163845807 40.78790547084704, -73.94646132906085 40.80066532888591))",10029,0.059111502,0.10019832099999999,0.070131028,0.48798774100000003,3,0.7174285920000001,1
14,Manhattan,"POLYGON ((-73.94359174329144 40.78283206813168, -73.94387854763119 40.78127820667923, -73.94321221275864 40.77927610095739, -73.94297133463361 40.77962176405364, -73.94271119277107 40.77952430243633, -73.94271276783823 40.77921505994166, -73.94255069196532 40.77914809084616, -73.94289425805796 40.77861165228666, -73.94252771555604 40.77765553451371, -73.94300629896043 40.77749182492855, -73.94427810415844 40.77560734645817, -73.94477818193836 40.77582281365468, -73.94527480106927 40.77514818859739, -73.94712143173693 40.77592965792302, -73.94662848480695 40.77660409264245, -73.95992093682813 40.78221296437616, -73.95577163845807 40.78790547084704, -73.94359174329144 40.78283206813168))",10128,0.17682362199999999,0.084398185,0.016751249,0.544356925,3,0.822329981,2
15,Manhattan,"POLYGON ((-73.99306672475984 40.77433850654827, -73.98963766661983 40.77295649332293, -73.98704451971062 40.77660488774179, -73.98823352437793 40.77716166985338, -73.98714973757546 40.77928691853204, -73.98674581818847 40.78058402788437, -73.98821069346344 40.78122505891703, -73.98768599278554 40.78216290002316, -73.9865652634212 40.7820640384103, -73.98516250169958 40.7839982850751, -73.98473705705575 40.78504251482436, -73.98470913747732 40.78559570254689, -73.9841922514499 40.78561680269051, -73.98265479533252 40.78497060697607, -73.98445219960307 40.78319175363302, -73.98106345484025 40.78175075015363, -73.98081059690513 40.7824731961474, -73.97928494580403 40.78183902023342, -73.97974787055291 40.78119536260816, -73.97690313877095 40.77999737613274, -73.97642746465422 40.78065427073034, -73.97357116577913 40.77947788180905, -73.98164276308029 40.76843818452373, -73.98127942848953 40.76800974299721, -73.98163627319613 40.76764488303195, -73.98214099885266 40.76767624947194, -73.9824539026136 40.76801208634977, -73.98242595187051 40.76827499311975, -73.9821910490971 40.76843275229064, -73.98220500852914 40.76893917961924, -73.9843193677394 40.76984201633277, -73.98477434066237 40.76921933332314, -73.99386535381521 40.77305739204924, -73.99379753570523 40.77342509886936, -73.99306672475984 40.77433850654827))",10023,0.233117682,0.099305004,0.066798593,0.598393712,3,0.9976149910000001,2
16,Manhattan,"POLYGON ((-73.95992093682813 40.78221296437616, -73.94662848480695 40.77660409264245, -73.94712143173693 40.77592965792302, -73.94527480106927 40.77514818859739, -73.94477818193836 40.77582281365468, -73.94427810415844 40.77560734645817, -73.94300629896043 40.77749182492855, -73.94252771555604 40.77765553451371, -73.94240874833741 40.77718359829133, -73.94207149305245 40.77692144332865, -73.94197133914595 40.77637873024383, -73.94210786408009 40.77595180035085, -73.94241889865924 40.77576210320621, -73.9427515599061 40.77494873492299, -73.94355736955913 40.77394221891133, -73.94747457992891 40.7701410515559, -73.94769770056337 40.77023186076828, -73.94653116921268 40.77145404773719, -73.94711811963955 40.77171281078474, -73.94758356868442 40.77107963375616, -73.94993704268983 40.77207366801167, -73.94947623620192 40.77270784073155, -73.9540926544297 40.77465627714582, -73.9545551965945 40.77402032096121, -73.96322991306303 40.77767706998322, -73.95992093682813 40.78221296437616))",10028,0.165135155,1.0,1.0,0.536329402,2,2.7014645569999995,-1
17,Manhattan,"POLYGON ((-73.94908345691881 40.76828439957028, -73.95232471528539 40.76453994029583, -73.95470085007233 40.76554539429569, -73.95515920168289 40.76491803031247, -73.9684450875844 40.77051271532734, -73.96468735882094 40.77567710275721, -73.95022258897437 40.76957692192602, -73.95008118613985 40.76950167320678, -73.95051825235559 40.7688736434247, -73.94908345691881 40.76828439957028))",10021,0.19502837899999997,0.066805027,0.009418308,0.536206109,3,0.807457823,2
18,Manhattan,"POLYGON ((-73.96025188116326 40.75160173916333, -73.95930177684274 40.75327932065025, -73.95844140403103 40.75392661295977, -73.95409611755807 40.75900913760916, -73.95211797592772 40.76084864904023, -73.95162805900804 40.76169026401909, -73.95015562275987 40.76347088102657, -73.94905150682256 40.76427297250176, -73.94591187456361 40.76821213061073, -73.94519044551978 40.7687610807312, -73.94514864949124 40.76911287681024, -73.94468444176418 40.76981742230175, -73.94214109368411 40.77202520799199, -73.94080670541729 40.77241495689034, -73.94028695619137 40.77293109936603, -73.94007513458918 40.77291651110901, -73.94028188346618 40.77229910379099, -73.94022601401105 40.7708303917161, -73.9411405666542 40.76939891966539, -73.94282981252708 40.76832153955499, -73.94943175296811 40.76054863363613, -73.95177822494074 40.75840256326599, -73.95288366836812 40.75671503376615, -73.95519503423917 40.75477453847945, -73.95794360963475 40.7520817436999, -73.95902169181394 40.75139031776102, -73.96121825213025 40.74948698083267, -73.96157158279377 40.74940690738399, -73.9615424046855 40.74984935231389, -73.96120354981727 40.75020773554125, -73.96101163761999 40.75078461142345, -73.96025188116326 40.75160173916333))",10044,0.307825686,0.8191635909999999,0.401314401,0.5209880720000001,2,2.04929175,-1
